"subj" "expt" "item" "cond" "pos" "word" "region" "rt" "dist.SR" "dist.OR" "RCType" "dist" "int" "lrt"
"10014" 16 "RC1" 8 "c" "4" "रखा_था," "RCVerb" 594 0 1 1 1 1 6.38687931936265
"10033" 16 "RC1" 21 "d" "4" "उठाया_था" "RCVerb" 609 0 -1 1 -1 -1 6.4118182677099
"10060" 16 "RC1" 18 "a" "4" "खरीदी_थी," "RCVerb" 1140 1 0 -1 1 -1 7.03878354138854
"10080" 16 "RC1" 10 "a" "4" "मांगी_थी," "RCVerb" 687 1 0 -1 1 -1 6.53233429222235
"10200" 17 "RC1" 3 "c" "4" "चुना_था," "RCVerb" 1625 0 1 1 1 1 7.39326309476384
"10310" 17 "RC1" 2 "b" "3" "खायी_थी" "RCVerb" 2063 -1 0 -1 -1 1 7.63191651307125
"10339" 17 "RC1" 21 "a" "5" "उठायीं_थीं," "RCVerb" 875 1 0 -1 1 -1 6.77422388635761
"10365" 17 "RC1" 14 "b" "3" "खरीदी_थी" "RCVerb" 1109 -1 0 -1 -1 1 7.01121398735037
"10392" 17 "RC1" 15 "c" "4" "खरीदा_था," "RCVerb" 641 0 1 1 1 1 6.46302945692067
"10443" 17 "RC1" 19 "c" "4" "फेका_था," "RCVerb" 406 0 1 1 1 1 6.00635315960173
"10496" 17 "RC1" 7 "c" "4" "साफ_किया_था," "RCVerb" 516 0 1 1 1 1 6.24610676548156
"10517" 17 "RC1" 8 "d" "3" "रखा_था" "RCVerb" 688 0 -1 1 -1 -1 6.53378883793334
"10553" 17 "RC1" 12 "d" "5" "दिखाया_था" "RCVerb" 703 0 -1 1 -1 -1 6.55535689181067
"10601" 17 "RC1" 1 "a" "4" "पढ़ी_थी," "RCVerb" 734 1 0 -1 1 -1 6.59850902861452
"10619" 17 "RC1" 22 "b" "3" "पकड़ी_थी" "RCVerb" 1656 -1 0 -1 -1 1 7.4121603349452
"10716" 17 "RC1" 23 "c" "4" "उठा_लिया_था," "RCVerb" 578 0 1 1 1 1 6.35957386867238
"10802" 17 "RC1" 24 "d" "4" "बेचा_था" "RCVerb" 2765 0 -1 1 -1 -1 7.92479591395644
"10903" 17 "RC1" 13 "a" "4" "सुलझाई_थी," "RCVerb" 1281 1 0 -1 1 -1 7.15539630189673
"10965" 17 "RC1" 6 "b" "3" "गायी_थी" "RCVerb" 1391 -1 0 -1 -1 1 7.23777819192344
"11019" 17 "RC1" 11 "c" "4" "बनाया_था," "RCVerb" 734 0 1 1 1 1 6.59850902861452
"11035" 17 "RC1" 16 "d" "4" "खोला_था" "RCVerb" 922 0 -1 1 -1 -1 6.82654522355659
"11093" 17 "RC1" 5 "a" "4" "खरीदी_थी," "RCVerb" 375 1 0 -1 1 -1 5.92692602597041
"11165" 17 "RC1" 17 "a" "4" "पहनी_हुई_थी," "RCVerb" 563 1 0 -1 1 -1 6.33327962813969
"11226" 17 "RC1" 10 "b" "3" "मांगी_थी" "RCVerb" 532 -1 0 -1 -1 1 6.27664348934164
"11251" 17 "RC1" 9 "a" "5" "काटी_थी," "RCVerb" 422 1 0 -1 1 -1 6.04500531403601
"11282" 17 "RC1" 18 "b" "3" "खरीदी_थी" "RCVerb" 609 -1 0 -1 -1 1 6.4118182677099
"11337" 17 "RC1" 4 "d" "3" "खाया_था" "RCVerb" 719 0 -1 1 -1 -1 6.57786135772105
"11376" 17 "RC1" 20 "d" "3" "बनाया_था" "RCVerb" 500 0 -1 1 -1 -1 6.21460809842219
